timestamp,datetime,total_spots,occupied_spots,free_spots,occupancy_rate
1744752299,2025-04-16 00:24:59,12,12,0,1.00
1744752932,2025-04-16 00:35:32,12,12,0,1.00
1744753535,2025-04-16 00:45:35,12,12,0,1.00
1744754218,2025-04-16 00:56:58,12,12,0,1.00
1744754876,2025-04-16 01:07:56,12,12,0,1.00
1744757250,2025-04-16 01:47:30,12,12,0,1.00
1744758106,2025-04-16 02:01:46,12,12,0,1.00
1744758705,2025-04-16 02:11:45,12,12,0,1.00
1744759339,2025-04-16 02:22:19,12,12,0,1.00
1744759938,2025-04-16 02:32:18,12,12,0,1.00
1744760547,2025-04-16 02:42:27,12,12,0,1.00
1744761439,2025-04-16 02:57:19,12,12,0,1.00
1744762039,2025-04-16 03:07:19,12,12,0,1.00
1744762747,2025-04-16 03:19:07,12,12,0,1.00
1744763440,2025-04-16 03:30:40,12,12,0,1.00
1744765058,2025-04-16 03:57:38,12,12,0,1.00
1744765673,2025-04-16 04:07:53,12,12,0,1.00
1744766288,2025-04-16 04:18:08,12,12,0,1.00
1744767047,2025-04-16 04:30:47,12,12,0,1.00
1744767660,2025-04-16 04:41:00,12,12,0,1.00
